PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),UsesSteam,UsesElectricity,UsesNaturalGas,BuildingAge
University,MAGNOLIA / QUEEN ANNE,1.0,2,52611,4390158.0,0,1,1,45
Residence Hall,MAGNOLIA / QUEEN ANNE,1.0,4,102100,4800620.5,0,1,1,24
K-12 School,NORTH,1.0,2,236758,9287467.0,0,1,1,14
Other,CENTRAL,3.0,6,250981,14196194.0,1,1,1,54
K-12 School,NORTHWEST,1.0,3,62526,2192411.0,0,1,1,23
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,3,64015,3375016.25,0,1,1,18
Other,NORTH,1.0,3,54224,7668810.0,0,1,1,61
Retail Store,NORTH,1.0,4,124342,8729918.0,0,1,1,60
Other,NORTHWEST,1.0,3,55442,3313397.0,0,1,1,29
K-12 School,BALLARD,1.0,2,242795,9708318.0,0,1,1,26
Self-Storage Facility,EAST,1.0,5,84870,1617801.25,0,1,1,115
K-12 School,SOUTHEAST,1.0,2,173185,7034167.5,0,1,1,73
K-12 School,DELRIDGE,1.0,1,145341,6337972.0,0,1,1,62
Warehouse,GREATER DUWAMISH,1.0,4,114297,2415462.5,0,1,1,121
K-12 School,SOUTHEAST,1.0,2,184125,10067991.0,0,1,1,65
Warehouse,GREATER DUWAMISH,1.0,1,234144,7874958.5,0,1,1,88
Retail Store,DELRIDGE,1.0,1,64984,3016373.5,0,1,1,59
Retail Store,DELRIDGE,1.0,1,67745,9589728.0,0,1,1,60
K-12 School,DELRIDGE,1.0,2,367884,13279344.0,0,1,1,15
K-12 School,DELRIDGE,1.0,1,46797,2380144.5,0,1,1,67
Other,BALLARD,1.0,3,56000,2088978.125,0,1,1,52
K-12 School,SOUTHEAST,1.0,2,67371,2260359.75,0,1,1,21
Self-Storage Facility,SOUTHWEST,1.0,2,52088,1576122.875,0,1,1,56
K-12 School,LAKE UNION,1.0,3,127776,4998584.5,0,1,1,15
Hotel,LAKE UNION,1.0,5,93920,9676783.0,0,1,1,27
Other,LAKE UNION,1.0,1,50000,7942537.5,0,1,1,125
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,2,50292,430473.6875,0,1,0,99
Hotel,MAGNOLIA / QUEEN ANNE,1.0,7,153315,11754087.0,0,1,1,27
K-12 School,BALLARD,1.0,2,67235,2443194.0,0,1,1,26
Small- and Mid-Sized Office,NORTHWEST,1.0,2,91130,10005492.0,0,1,1,68
K-12 School,SOUTHWEST,1.0,3,58118,1519074.75,0,1,1,34
Hotel,NORTHWEST,1.0,4,64893,6211749.5,0,1,1,57
K-12 School,GREATER DUWAMISH,1.0,1,70762,4138032.75,0,1,1,100
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,44558,1722053.0,0,1,1,125
Distribution Center,GREATER DUWAMISH,1.0,2,179161,10168523.0,0,1,1,101
Warehouse,GREATER DUWAMISH,1.0,2,58640,4327563.5,0,1,0,60
Hotel,GREATER DUWAMISH,1.0,9,153882,12871628.0,0,1,1,20
Warehouse,GREATER DUWAMISH,1.0,4,79600,2411402.25,0,1,0,109
K-12 School,LAKE UNION,1.0,4,241066,8886716.0,0,1,1,28
Other,NORTH,1.0,6,84739,9238992.0,0,1,1,17
Mixed Use Property,MAGNOLIA / QUEEN ANNE,1.0,4,110785,10864032.0,0,1,1,23
K-12 School,DELRIDGE,1.0,1,71714,2470597.75,0,1,1,26
Warehouse,LAKE UNION,1.0,3,67236,571637.5,0,1,1,34
Senior Care Community,DOWNTOWN,1.0,5,90185,10281401.0,0,1,1,26
K-12 School,SOUTHWEST,1.0,2,208981,9030149.0,0,1,1,23
K-12 School,NORTHEAST,1.0,2,55653,1597907.25,0,1,1,97
Hotel,NORTHEAST,1.0,16,106860,12616417.0,0,1,1,94
Small- and Mid-Sized Office,NORTH,1.0,5,50759,3321734.0,0,1,1,53
Worship Facility,NORTHEAST,1.0,2,56772,2762805.5,0,1,1,73
Worship Facility,NORTHEAST,1.0,3,103000,5391782.0,0,1,1,73
K-12 School,NORTHEAST,1.0,3,269297,11208195.0,0,1,1,19
K-12 School,NORTHEAST,1.0,3,75174,3011741.75,0,1,1,24
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,3,75214,2457326.25,0,1,1,22
K-12 School,SOUTHWEST,1.0,3,134918,4135198.25,0,1,1,20
K-12 School,CENTRAL,1.0,2,64414,2453255.5,0,1,0,34
K-12 School,NORTHWEST,1.0,3,92437,5280739.0,0,1,1,98
Other,DOWNTOWN,1.0,7,128766,6057410.0,0,1,1,111
Residence Hall,DOWNTOWN,1.0,9,107572,5879083.0,1,1,0,112
K-12 School,GREATER DUWAMISH,1.0,3,204961,8935423.0,0,1,1,18
Other,MAGNOLIA / QUEEN ANNE,1.0,1,76086,3576720.0,0,1,1,52
Mixed Use Property,DOWNTOWN,1.0,1,62900,10883874.0,0,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,56500,1500938.5,1,1,0,111
Warehouse,GREATER DUWAMISH,1.0,4,203504,3944732.0,0,1,0,17
Large Office,DOWNTOWN,1.0,3,74003,9892566.0,0,1,0,57
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,59158,5168686.5,0,1,1,44
Small- and Mid-Sized Office,DOWNTOWN,1.0,10,55652,3826622.5,1,1,0,99
Large Office,DOWNTOWN,1.0,17,174790,8081443.0,0,1,1,95
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,73399,3992167.75,0,1,0,109
Large Office,DOWNTOWN,1.0,12,206000,9075988.0,1,1,0,57
Small- and Mid-Sized Office,DOWNTOWN,1.0,7,89550,4135330.5,1,1,0,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,89355,4188308.75,0,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,89699,1916413.75,1,1,0,75
Large Office,DOWNTOWN,1.0,8,94948,3743228.5,0,1,0,57
Large Office,DOWNTOWN,1.0,14,162993,9843217.0,1,1,0,53
Large Office,DOWNTOWN,1.0,8,201480,9510490.0,1,1,0,118
Large Office,DOWNTOWN,1.0,8,168870,13972700.0,0,1,1,22
Large Office,DOWNTOWN,1.0,13,319539,13862720.0,0,1,1,19
Large Office,DOWNTOWN,1.0,7,106099,2970604.25,0,1,1,116
Retail Store,NORTHEAST,1.0,2,89200,6707359.5,0,1,1,47
Small- and Mid-Sized Office,NORTHEAST,1.0,5,99005,5008123.5,0,1,1,64
Large Office,NORTHEAST,1.0,6,90803,4426136.0,0,1,0,23
Large Office,NORTHEAST,1.0,5,137929,7046345.5,0,1,0,23
Self-Storage Facility,DOWNTOWN,1.0,5,93660,940359.1875,0,1,0,61
Mixed Use Property,DOWNTOWN,1.0,11,185760,9944328.0,0,1,1,25
Mixed Use Property,DOWNTOWN,1.0,4,70647,8381544.5,0,1,1,45
Large Office,DOWNTOWN,1.0,3,144118,5569686.0,0,1,1,78
Supermarket / Grocery Store,NORTHWEST,1.0,1,60880,14736775.0,0,1,1,69
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,50176,2933288.75,0,1,1,125
Warehouse,GREATER DUWAMISH,1.0,1,128800,2098949.75,0,1,1,48
Large Office,DOWNTOWN,1.0,8,321945,14072349.0,1,1,0,98
Retail Store,SOUTHEAST,1.0,2,291940,12080064.0,0,1,1,45
Mixed Use Property,GREATER DUWAMISH,1.0,1,88400,4811200.0,0,1,1,55
Warehouse,NORTHWEST,1.0,1,52311,1109137.125,0,1,1,65
Other,LAKE UNION,1.0,5,71421,3085814.0,0,1,0,16
Large Office,LAKE UNION,1.0,5,106465,5803409.0,0,1,0,24
Warehouse,BALLARD,1.0,1,52500,4243867.0,0,1,1,52
Warehouse,BALLARD,1.0,2,57300,5095134.5,0,1,1,66
Large Office,DOWNTOWN,1.0,10,135918,6771618.5,1,1,0,67
Retail Store,DOWNTOWN,1.0,4,79957,5171529.0,0,1,0,111
Large Office,DOWNTOWN,1.0,4,127268,7711757.5,1,1,1,104
Large Office,DOWNTOWN,1.0,10,132326,6146691.5,1,1,1,99
Large Office,DOWNTOWN,1.0,6,96630,7335905.5,0,1,0,41
Large Office,DOWNTOWN,1.0,10,130513,11792293.0,1,1,1,115
Small- and Mid-Sized Office,DOWNTOWN,1.0,8,60660,2586116.0,0,1,0,105
Large Office,DOWNTOWN,1.0,14,137350,6825027.0,1,1,0,96
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,63540,3564626.75,0,1,1,119
Large Office,DOWNTOWN,1.0,10,130893,7163323.5,0,1,0,98
Mixed Use Property,DOWNTOWN,1.0,5,79920,2977095.25,0,1,0,115
Other,DOWNTOWN,1.0,6,61423,9671619.0,0,1,1,29
Other,DOWNTOWN,1.0,4,100375,7378420.5,0,1,1,29
Large Office,DOWNTOWN,1.0,12,100717,4757299.5,0,1,0,39
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,70000,4549892.0,0,1,0,26
Large Office,DOWNTOWN,1.0,11,189629,13329024.0,0,1,0,27
Other,DOWNTOWN,1.0,12,155500,14436982.0,0,1,0,40
Large Office,DOWNTOWN,1.0,11,102846,6047637.0,1,1,0,102
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,52800,2500323.75,0,1,1,100
Other,EAST,1.0,9,46710,4439795.5,1,1,0,37
Medical Office,EAST,1.0,3,162000,14009703.0,1,1,1,80
Hotel,LAKE UNION,1.0,5,79608,9707963.0,0,1,1,46
Warehouse,GREATER DUWAMISH,1.0,1,123061,1987934.625,0,1,0,24
Distribution Center,GREATER DUWAMISH,1.0,1,59090,3153949.5,0,1,1,62
