PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFABuilding(s),SiteEnergyUseWN(kBtu),UsesSteam,UsesElectricity,UsesNaturalGas,BuildingAge
Medical Office,CENTRAL,1.0,7,94500,5739540.0,0,1,0,38
Retail Store,DELRIDGE,1.0,1,94713,5820712.5,0,1,1,20
Large Office,DOWNTOWN,1.0,6,205521,8455976.0,1,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,56700,3065954.5,0,1,0,125
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,4,72000,2739121.5,0,1,1,100
Large Office,MAGNOLIA / QUEEN ANNE,1.0,4,96254,5101504.5,0,1,0,25
Other,DELRIDGE,1.0,3,57236,9596839.0,0,1,1,24
Other,MAGNOLIA / QUEEN ANNE,3.0,2,81336,13360349.0,0,1,1,31
Other,DOWNTOWN,1.0,6,78852,5233553.5,0,1,0,42
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5,98668,4395027.0,0,1,0,43
Large Office,GREATER DUWAMISH,1.0,1,130550,9336260.0,0,1,1,18
Retail Store,MAGNOLIA / QUEEN ANNE,1.0,1,50660,2956254.5,0,1,1,47
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,61929,2421613.25,0,1,1,88
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,20565,830100.0,0,1,0,100
Large Office,MAGNOLIA / QUEEN ANNE,1.0,5,103966,7857972.5,0,1,0,25
Large Office,MAGNOLIA / QUEEN ANNE,1.0,5,129362,5799664.5,0,1,1,39
Large Office,DOWNTOWN,1.0,7,197203,12729858.0,0,1,0,39
Large Office,DOWNTOWN,1.0,3,187130,10445641.0,0,1,0,32
Warehouse,DOWNTOWN,1.0,5,154330,1411471.75,0,1,0,113
Large Office,DOWNTOWN,1.0,6,93555,4682152.5,1,1,0,107
Large Office,DOWNTOWN,1.0,6,167860,7046428.5,0,1,0,120
Large Office,DOWNTOWN,1.0,6,112560,5268183.0,0,1,1,115
Retail Store,DOWNTOWN,1.0,6,86204,3350477.0,0,1,1,115
Warehouse,GREATER DUWAMISH,1.0,2,145158,8615958.0,0,1,1,40
Large Office,GREATER DUWAMISH,1.0,2,112896,10622784.0,0,1,1,74
Distribution Center,GREATER DUWAMISH,1.0,1,110613,1015060.188,0,1,0,65
Warehouse,GREATER DUWAMISH,1.0,4,149881,2869350.25,0,1,1,74
Warehouse,GREATER DUWAMISH,1.0,3,98220,6562048.5,0,1,1,74
Distribution Center,GREATER DUWAMISH,1.0,1,84420,2882685.0,0,1,0,55
Distribution Center,GREATER DUWAMISH,1.0,1,73335,5459973.5,0,1,1,64
Distribution Center,GREATER DUWAMISH,1.0,2,56876,2015776.625,0,1,1,97
Warehouse,GREATER DUWAMISH,1.0,2,61200,5285776.5,0,1,1,94
Distribution Center,GREATER DUWAMISH,1.0,1,111908,1667059.125,0,1,1,38
Other,GREATER DUWAMISH,3.0,2,63644,7448018.0,0,1,1,39
Mixed Use Property,GREATER DUWAMISH,3.0,2,89893,3714717.25,0,1,0,95
Small- and Mid-Sized Office,BALLARD,1.0,4,71037,4817062.0,0,1,0,24
Warehouse,MAGNOLIA / QUEEN ANNE,1.0,3,56259,2685146.5,0,1,1,51
Large Office,LAKE UNION,1.0,4,113768,8873485.0,0,1,0,17
Small- and Mid-Sized Office,LAKE UNION,1.0,2,51374,5481549.0,0,1,0,25
Large Office,MAGNOLIA / QUEEN ANNE,1.0,5,110524,6859198.0,0,1,0,27
Large Office,MAGNOLIA / QUEEN ANNE,1.0,7,157186,8732968.0,0,1,1,25
Large Office,MAGNOLIA / QUEEN ANNE,1.0,5,84210,5034942.5,0,1,1,51
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,76893,12289373.0,0,1,1,123
Large Office,DOWNTOWN,1.0,8,126370,9836703.0,0,1,1,50
Large Office,DOWNTOWN,1.0,11,169020,12019477.0,1,1,1,62
Retail Store,DOWNTOWN,1.0,4,78920,8303666.5,0,1,1,96
Mixed Use Property,EAST,1.0,4,55520,3904791.25,0,1,1,117
Large Office,DOWNTOWN,1.0,10,132998,4040138.75,1,1,0,117
Retail Store,DOWNTOWN,1.0,3,83118,2533838.5,0,1,1,85
Retail Store,DOWNTOWN,1.0,3,77555,7802205.5,0,1,1,101
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,51218,2886141.5,0,1,0,116
Large Office,DOWNTOWN,1.0,7,122356,4675881.5,0,1,1,115
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,52298,2038746.5,0,1,0,104
Large Office,DOWNTOWN,1.0,17,116640,7066534.5,1,1,0,114
Medical Office,EAST,1.0,5,89025,8588643.0,0,1,1,37
University,CENTRAL,1.0,2,60122,745830.3125,0,1,1,109
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,81300,4269199.5,0,1,1,115
Large Office,DOWNTOWN,1.0,8,321473,13568148.0,0,1,0,27
Other,GREATER DUWAMISH,1.0,2,58492,1849863.625,0,1,1,86
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,6,62370,4353025.0,0,1,0,118
Warehouse,GREATER DUWAMISH,1.0,1,73296,2709055.0,0,1,1,65
Other,GREATER DUWAMISH,1.0,4,99122,14522162.0,0,1,1,81
Other,GREATER DUWAMISH,1.0,1,66133,6528948.0,0,1,1,40
Warehouse,GREATER DUWAMISH,1.0,2,115668,3847929.5,0,1,1,73
Other,GREATER DUWAMISH,1.0,1,141686,6837936.0,0,1,0,55
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,93610,6612733.0,0,1,1,75
Large Office,GREATER DUWAMISH,1.0,2,156188,7181600.0,0,1,1,52
Warehouse,GREATER DUWAMISH,1.0,1,115620,1951856.25,0,1,0,59
Large Office,GREATER DUWAMISH,1.0,5,238148,10775646.0,0,1,0,50
Distribution Center,GREATER DUWAMISH,1.0,1,71718,151754.2969,0,1,0,56
Warehouse,GREATER DUWAMISH,1.0,1,55450,4843056.0,0,1,1,56
Distribution Center,GREATER DUWAMISH,1.0,1,54880,3013861.5,0,1,1,46
Retail Store,DELRIDGE,1.0,1,102500,7728856.5,0,1,1,33
Other,NORTHEAST,1.0,6,88498,9158207.0,0,1,1,23
Supermarket / Grocery Store,GREATER DUWAMISH,1.0,1,50785,7593035.0,0,1,1,62
Other,North,1.0,5,283435,11077140.0,0,1,1,25
Mixed Use Property,DOWNTOWN,1.0,4,73320,1315191.375,0,1,1,123
Large Office,MAGNOLIA / QUEEN ANNE,1.0,4,142510,9683979.0,0,1,0,17
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,79920,5587502.5,0,1,1,125
Warehouse,GREATER DUWAMISH,1.0,1,179413,3459543.0,0,1,0,79
Warehouse,GREATER DUWAMISH,1.0,1,65288,605971.1875,0,1,0,108
Warehouse,Delridge,1.0,1,170632,622185.6875,0,1,0,59
Large Office,MAGNOLIA / QUEEN ANNE,1.0,10,381511,11518169.0,0,1,1,31
Large Office,DOWNTOWN,1.0,17,275166,13631141.0,0,1,0,16
Mixed Use Property,NORTHEAST,1.0,6,68100,5034998.5,0,1,1,16
Retail Store,NORTHEAST,1.0,2,93803,5561522.5,0,1,1,69
Warehouse,GREATER DUWAMISH,1.0,2,123000,3004271.0,0,1,0,59
Medical Office,EAST,1.0,5,162150,9941308.0,0,1,0,22
Warehouse,GREATER DUWAMISH,1.0,1,60448,1167543.25,0,1,1,47
Other,MAGNOLIA / QUEEN ANNE,3.0,4,62600,12637976.0,0,1,1,97
Mixed Use Property,EAST,1.0,4,55800,2740574.75,0,1,1,21
Medical Office,EAST,1.0,5,130262,12814944.0,0,1,1,35
Other,NORTH,1.0,5,90266,7947933.5,0,1,0,38
Warehouse,Ballard,1.0,4,80874,1185468.125,0,1,1,21
Hotel,EAST,1.0,6,100528,13961121.0,0,1,1,22
Hotel,MAGNOLIA / QUEEN ANNE,1.0,5,90583,9495641.0,0,1,1,17
Warehouse,EAST,1.0,4,132828,1083729.625,0,1,0,37
Warehouse,DELRIDGE,1.0,1,70400,14128860.0,0,1,1,55
Retail Store,NORTHWEST,1.0,1,101830,11474490.0,0,1,1,30
University,CENTRAL,2.0,4,114000,7575080.0,0,1,1,51
Warehouse,SOUTHWEST,1.0,1,152365,1088167.75,0,1,1,60
Retail Store,GREATER DUWAMISH,1.0,1,74178,5617868.0,0,1,1,67
Warehouse,NORTH,1.0,4,80360,755287.5,0,1,1,38
K-12 School,SOUTHWEST,1.0,1,61183,2789344.0,0,1,1,75
Supermarket / Grocery Store,EAST,1.0,3,119190,10434333.0,0,1,1,29
Other,GREATER DUWAMISH,1.0,2,51856,1935438.625,0,1,0,17
Mixed Use Property,GREATER DUWAMISH,1.0,3,53552,7070998.5,0,1,0,104
Low-Rise Multifamily,LAKE UNION,1.0,3,56986,2090011.625,0,1,1,25
Worship Facility,NORTHEAST,1.0,2,22220,891251.5,0,1,1,68
K-12 School,NORTHEAST,1.0,1,46732,2637723.5,0,1,1,70
Mixed Use Property,GREATER DUWAMISH,1.0,1,44700,2173092.25,0,1,1,63
Warehouse,GREATER DUWAMISH,1.0,1,44100,1692054.125,0,1,0,49
Distribution Center,GREATER DUWAMISH,1.0,1,27800,1337789.75,0,1,1,60
Warehouse,GREATER DUWAMISH,1.0,1,46340,2564004.0,0,1,0,24
Other,GREATER DUWAMISH,3.0,1,22800,2660376.75,0,1,1,31
Small- and Mid-Sized Office,CENTRAL,1.0,3,38460,2064345.875,0,1,1,115
Worship Facility,NORTHWEST,1.0,2,21022,1078904.0,0,1,1,103
K-12 School,SOUTHWEST,1.0,2,51489,2244011.75,0,1,1,71
Distribution Center,GREATER DUWAMISH,1.0,1,48001,2495909.5,0,1,1,58
Warehouse,GREATER DUWAMISH,1.0,1,26380,526955.3125,0,1,1,46
Warehouse,GREATER DUWAMISH,1.0,1,37351,2832228.5,0,1,1,56
Warehouse,GREATER DUWAMISH,1.0,1,30375,345866.6875,0,1,0,44
Warehouse,GREATER DUWAMISH,1.0,1,30004,369291.5,0,1,0,46
Other,NORTHEAST,1.0,3,39971,11316338.0,0,1,1,97
Worship Facility,BALLARD,1.0,2,33589,606874.5,0,1,1,111
Small- and Mid-Sized Office,BALLARD,1.0,3,43500,3220635.25,0,1,1,46
Small- and Mid-Sized Office,BALLARD,1.0,2,28492,2000228.875,0,1,1,47
Small- and Mid-Sized Office,BALLARD,1.0,3,22325,1401315.875,0,1,0,62
Restaurant,BALLARD,1.0,3,22719,1358519.0,0,1,0,48
Laboratory,DOWNTOWN,1.0,2,22588,7251589.0,0,1,0,79
K-12 School,CENTRAL,1.0,2,37327,2179860.5,0,1,1,100
Retail Store,DOWNTOWN,1.0,2,147545,7339108.0,0,1,1,108
Other,NORTH,1.0,2,21462,1207838.75,0,1,0,102
K-12 School,NORTHWEST,1.0,2,47602,2589620.0,0,1,1,95
Other,NORTHWEST,1.0,2,28072,1587238.0,0,1,1,108
Restaurant,DOWNTOWN,1.0,2,31020,5231756.5,0,1,1,70
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,21600,1636649.125,0,1,1,108
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,48505,4673727.5,0,1,1,51
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,64630,1408291.375,0,1,0,83
Worship Facility,DOWNTOWN,1.0,2,20920,1208581.375,0,1,1,77
Worship Facility,SOUTHWEST,1.0,2,22128,727772.8125,0,1,1,99
Retail Store,NORTHWEST,1.0,1,48139,959683.125,0,1,1,57
Worship Facility,SOUTHWEST,1.0,2,21364,1110209.25,0,1,1,76
University,DOWNTOWN,1.0,2,28923,508430.5938,0,1,1,33
University,DOWNTOWN,1.0,3,21600,359207.1875,0,1,1,97
Retail Store,NORTHEAST,1.0,1,25735,1245673.0,0,1,1,29
Retail Store,NORTHEAST,1.0,2,25862,4765879.0,0,1,1,69
Retail Store,NORTHEAST,1.0,2,49965,3424428.0,0,1,1,22
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,20028,550668.125,1,1,0,96
Small- and Mid-Sized Office,DOWNTOWN,1.0,7,23622,575362.5,0,1,1,125
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,23563,883197.6875,0,1,0,123
Mixed Use Property,DOWNTOWN,1.0,3,28600,1167559.75,0,1,1,122
Mixed Use Property,DOWNTOWN,1.0,2,26160,2249630.25,0,1,0,47
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,26840,1997288.75,0,1,0,119
Retail Store,DOWNTOWN,1.0,2,46800,1245187.5,0,1,0,119
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,37350,2067352.5,0,1,1,46
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,28800,1423579.25,0,1,1,117
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,28584,1817034.125,0,1,1,71
Retail Store,DOWNTOWN,1.0,2,26270,1667641.25,0,1,1,94
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,49800,2385395.0,0,1,0,99
Mixed Use Property,DOWNTOWN,1.0,2,22616,450780.1875,0,1,0,71
Hotel,DOWNTOWN,1.0,5,57800,2466522.25,0,1,1,35
Other,DOWNTOWN,1.0,2,31890,1788951.625,0,1,0,70
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,30438,1523175.125,1,1,0,100
Restaurant,DOWNTOWN,1.0,3,22381,3625967.75,0,1,1,102
Retail Store,DOWNTOWN,1.0,1,23562,485607.1875,0,1,1,100
Medical Office,DOWNTOWN,1.0,4,26670,1640803.5,0,1,1,73
Other,DOWNTOWN,1.0,2,37740,3356598.0,0,1,1,103
Small- and Mid-Sized Office,DOWNTOWN,1.0,1,23752,1199844.875,0,1,1,60
Hotel,DOWNTOWN,1.0,4,44416,2736926.5,0,1,1,58
Mixed Use Property,DOWNTOWN,1.0,2,10925,2622096.5,0,1,1,19
Worship Facility,Northwest,1.0,2,45991,1297917.25,0,1,1,97
Residence Hall,NORTHEAST,1.0,3,21499,605130.6875,0,1,0,104
Small- and Mid-Sized Office,NORTHEAST,1.0,2,20384,1781798.375,0,1,1,36
Retail Store,NORTHEAST,1.0,2,39265,5322918.5,0,1,1,69
Retail Store,NORTHEAST,1.0,2,54284,6890861.0,0,1,1,69
Retail Store,NORTHEAST,1.0,1,23409,2621259.25,0,1,1,69
Retail Store,NORTHEAST,1.0,1,63153,4670313.0,0,1,1,28
Hotel,NORTHEAST,2.0,2,24100,1640279.375,0,1,1,64
Restaurant,DOWNTOWN,1.0,3,33600,4712960.5,0,1,1,102
Other,DOWNTOWN,1.0,4,32356,2013033.75,1,1,0,98
Hotel,DOWNTOWN,1.0,7,48220,4077797.0,0,1,1,65
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,32256,3603400.0,0,1,1,47
Worship Facility,Northwest,1.0,2,21393,981916.5,0,1,1,77
Mixed Use Property,SOUTHEAST,1.0,2,47560,1221954.375,0,1,1,35
Senior Care Community,EAST,1.0,6,62334,1147752.25,0,1,1,19
Residence Hall,NORTHEAST,1.0,3,20960,1667310.5,0,1,1,95
University,DOWNTOWN,1.0,3,28800,773795.625,0,1,1,115
K-12 School,DOWNTOWN,1.0,2,21600,1415640.0,0,1,1,68
K-12 School,DOWNTOWN,1.0,3,22860,990507.3125,0,1,0,30
Worship Facility,NORTHEAST,1.0,1,26366,996850.0,0,1,1,53
Worship Facility,SOUTHEAST,1.0,2,21732,942745.6875,0,1,1,60
Mixed Use Property,BALLARD,1.0,1,21060,380806.5938,0,1,1,80
Mixed Use Property,BALLARD,1.0,4,20539,1695247.625,0,1,1,65
K-12 School,NORTHEAST,1.0,1,38624,1564929.125,0,1,1,67
Retail Store,NORTHEAST,1.0,3,32960,813641.0,0,1,0,125
Other,NORTHEAST,1.0,3,29636,688641.8125,0,1,0,104
Hotel,NORTHEAST,1.0,3,20571,759756.5,0,1,0,95
Worship Facility,NORTHEAST,1.0,2,47992,3518393.25,0,1,1,99
Residence Hall,NORTHEAST,1.0,3,28572,2759011.75,0,1,1,32
Residence Hall,EAST,1.0,15,84240,3042217.25,0,1,0,43
K-12 School,NORTHEAST,5.0,3,21500,7109712.5,0,1,1,36
Small- and Mid-Sized Office,LAKE UNION,1.0,2,57619,2641681.75,0,1,1,13
Hotel,DOWNTOWN,1.0,9,104000,9037184.0,1,1,1,100
K-12 School,GREATER DUWAMISH,1.0,1,55206,2644410.5,0,1,1,54
Senior Care Community,SOUTHEAST,1.0,3,78374,3397766.5,0,1,0,44
Mixed Use Property,BALLARD,1.0,2,38784,1894318.875,0,1,1,18
Other,GREATER DUWAMISH,1.0,2,41790,2283131.0,0,1,1,56
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,39960,2388675.5,0,1,1,125
Warehouse,DOWNTOWN,1.0,5,33300,90558.70313,0,1,0,125
Hotel,DOWNTOWN,1.0,11,36240,2390584.0,1,1,1,99
Other,DOWNTOWN,1.0,3,32360,3269279.75,1,1,1,103
Other,DOWNTOWN,1.0,5,41536,2735166.0,0,1,0,117
Hotel,DOWNTOWN,1.0,6,35820,3547995.75,0,1,1,116
K-12 School,SOUTHWEST,1.0,2,33462,4719841.5,0,1,1,103
K-12 School,SOUTHWEST,1.0,3,49744,2421669.75,0,1,1,60
Worship Facility,SOUTHWEST,1.0,2,37816,1565229.75,0,1,1,102
Mixed Use Property,SOUTHWEST,1.0,2,23315,1490972.375,0,1,1,99
Mixed Use Property,SOUTHWEST,1.0,2,20700,4345884.5,0,1,1,95
Other,SOUTHWEST,1.0,1,28397,3563789.75,0,1,1,77
Supermarket / Grocery Store,SOUTHWEST,1.0,2,25762,1906384.875,0,1,0,79
Other,SOUTHWEST,1.0,1,33334,6405464.5,0,1,1,41
Small- and Mid-Sized Office,SOUTHWEST,1.0,3,43387,2695090.5,0,1,1,44
Mixed Use Property,NORTH,1.0,1,39350,267135.0938,0,1,0,46
Other,NORTH,1.0,1,22405,3556717.25,0,1,1,76
Other,NORTH,1.0,1,32590,1505296.875,0,1,1,12
Warehouse,GREATER DUWAMISH,1.0,1,37500,1908057.875,0,1,1,40
Medical Office,CENTRAL,1.0,2,39000,2654904.25,0,1,1,35
Other,SOUTHWEST,1.0,1,22180,5211179.5,0,1,1,101
K-12 School,GREATER DUWAMISH,1.0,1,51704,1965120.125,0,1,1,54
Distribution Center,GREATER DUWAMISH,1.0,1,25920,1212529.75,0,1,1,56
Refrigerated Warehouse,GREATER DUWAMISH,1.0,1,25480,741287.1875,0,1,0,72
Warehouse,GREATER DUWAMISH,1.0,2,31000,2315087.75,0,1,1,55
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,1,29740,1533262.0,0,1,1,64
Distribution Center,GREATER DUWAMISH,1.0,1,23236,484136.8125,0,1,1,71
Small- and Mid-Sized Office,SOUTHEAST,1.0,3,38075,2035301.25,0,1,1,16
Small- and Mid-Sized Office,SOUTHEAST,1.0,2,39170,2252219.5,0,1,1,55
Other,SOUTHEAST,1.0,1,36070,1542945.125,0,1,0,48
Other,SOUTHEAST,1.0,2,20047,128383.8984,0,1,0,62
Retail Store,GREATER DUWAMISH,1.0,1,20000,557863.6875,0,1,0,111
Warehouse,GREATER DUWAMISH,1.0,2,32400,248616.0,0,1,0,70
Supermarket / Grocery Store,MAGNOLIA / QUEEN ANNE,1.0,1,25159,9072714.0,0,1,1,63
Other,MAGNOLIA / QUEEN ANNE,1.0,1,27247,2607414.75,0,1,1,77
Distribution Center,GREATER DUWAMISH,1.0,1,26680,243518.2031,0,1,0,70
Warehouse,DELRIDGE,1.0,1,31521,1823198.75,0,1,1,72
Warehouse,GREATER DUWAMISH,1.0,1,24000,1510110.25,0,1,1,74
Self-Storage Facility,GREATER DUWAMISH,1.0,1,21900,1654353.5,0,1,1,73
Warehouse,GREATER DUWAMISH,1.0,1,38005,800420.6875,0,1,1,64
Distribution Center,GREATER DUWAMISH,1.0,1,35579,1259267.75,0,1,1,27
Distribution Center,GREATER DUWAMISH,1.0,1,49950,238969.7031,0,1,0,50
K-12 School,EAST,1.0,3,62078,2187712.5,0,1,1,24
Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,2,22612,854810.625,0,1,1,78
Other,NORTH,1.0,2,38787,3513828.25,0,1,1,49
Self-Storage Facility,NORTH,2.0,2,50368,897822.875,0,1,1,37
Warehouse,GREATER DUWAMISH,1.0,1,30545,1861291.25,0,1,1,87
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,3,32691,1095913.75,0,1,1,103
Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,2,24227,1238854.625,0,1,1,62
Distribution Center,GREATER DUWAMISH,1.0,1,27000,735187.125,0,1,1,69
K-12 School,LAKE UNION,1.0,3,95501,3244148.0,0,1,1,26
Small- and Mid-Sized Office,LAKE UNION,1.0,2,21183,361542.0938,0,1,0,68
Small- and Mid-Sized Office,LAKE UNION,1.0,3,25558,804510.375,0,1,1,64
Large Office,LAKE UNION,1.0,5,82234,4843339.0,0,1,0,40
Residence Hall,LAKE UNION,1.0,3,21118,1427645.0,0,1,1,37
Large Office,LAKE UNION,1.0,5,126842,4515744.5,0,1,1,12
Small- and Mid-Sized Office,LAKE UNION,1.0,2,20500,1326178.125,0,1,1,125
Senior Care Community,BALLARD,1.0,2,3636,12805711.0,0,1,1,59
Worship Facility,NORTHEAST,1.0,2,25521,685885.625,0,1,1,95
K-12 School,NORTHEAST,1.0,1,23190,1929416.5,0,1,1,39
Small- and Mid-Sized Office,NORTHWEST,1.0,1,20678,875049.6875,0,1,1,65
K-12 School,NORTHWEST,1.0,3,28820,2959193.75,0,1,1,103
Worship Facility,SOUTHEAST,1.0,2,27876,2095655.25,0,1,1,71
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,1,48789,1419585.125,0,1,1,100
K-12 School,SOUTHEAST,1.0,1,33105,1924436.0,0,1,1,100
Senior Care Community,SOUTHEAST,1.0,2,41649,7048919.0,0,1,1,59
Warehouse,GREATER DUWAMISH,1.0,1,22320,462174.4063,0,1,0,48
Other,GREATER DUWAMISH,1.0,1,47105,10234721.0,0,1,1,49
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,40029,1575328.25,0,1,0,43
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,28304,1322894.5,0,1,0,55
Other,GREATER DUWAMISH,1.0,1,26400,452612.5,0,1,0,55
Warehouse,GREATER DUWAMISH,1.0,1,27680,1918665.75,0,1,1,57
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,25872,1853911.875,0,1,1,56
Small- and Mid-Sized Office,GREATER DUWAMISH,1.0,2,25872,2498335.25,0,1,1,56
Warehouse,GREATER DUWAMISH,1.0,1,20500,222600.0938,0,1,0,56
Small- and Mid-Sized Office,LAKE UNION,1.0,2,21436,558727.875,0,1,0,67
Mixed Use Property,NORTHEAST,1.0,1,20233,690322.6875,0,1,1,27
Small- and Mid-Sized Office,LAKE UNION,1.0,4,27526,1039085.375,0,1,1,19
Small- and Mid-Sized Office,LAKE UNION,1.0,3,23307,1214408.75,0,1,1,40
Self-Storage Facility,DOWNTOWN,1.0,6,46580,778702.125,0,1,0,97
Retail Store,DOWNTOWN,1.0,2,25920,478690.0938,0,1,0,109
Retail Store,DOWNTOWN,1.0,2,25920,1046976.813,0,1,1,106
Hotel,DOWNTOWN,1.0,8,61721,2968429.75,0,1,1,115
Small- and Mid-Sized Office,DOWNTOWN,1.0,2,25920,1945839.625,0,1,1,106
Small- and Mid-Sized Office,EAST,1.0,4,39760,2741556.25,1,1,1,100
Other,EAST,1.0,3,30971,2974354.25,1,1,1,105
Small- and Mid-Sized Office,EAST,1.0,3,22667,4141811.25,1,1,1,79
Warehouse,LAKE UNION,1.0,2,33840,2339649.75,0,1,1,98
Mixed Use Property,LAKE UNION,5.0,3,32601,4288601.5,0,1,1,24
Small- and Mid-Sized Office,LAKE UNION,1.0,5,27730,1291405.25,0,1,0,24
Retail Store,LAKE UNION,1.0,2,20516,1109483.125,0,1,1,114
Retail Store,LAKE UNION,1.0,3,27480,1215156.25,0,1,0,119
Mixed Use Property,LAKE UNION,1.0,1,46958,1818867.875,0,1,1,78
Distribution Center,LAKE UNION,1.0,1,26532,2261229.0,0,1,1,41
Small- and Mid-Sized Office,LAKE UNION,1.0,2,22388,605182.6875,0,1,1,44
Other,LAKE UNION,1.0,1,30730,3269018.5,0,1,1,56
Small- and Mid-Sized Office,LAKE UNION,1.0,2,35600,2195095.5,0,1,1,39
Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,3,62000,2158433.5,0,1,1,76
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,2,23600,839316.3125,0,1,0,44
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,40067,2303732.75,0,1,0,39
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,19497,1074989.0,0,1,0,36
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,25262,1508578.25,0,1,1,46
Other,LAKE UNION,1.0,3,53103,4879644.0,0,1,1,29
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,34106,1785202.125,0,1,0,45
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,34545,2313978.75,0,1,0,45
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,3,70296,3018885.75,0,1,0,45
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,27838,1265151.625,0,1,0,123
Distribution Center,DELRIDGE,2.0,2,28368,1931830.75,0,1,1,54
Other,NORTHWEST,1.0,2,92080,5368434.5,0,1,1,61
Other,NORTHWEST,1.0,1,20236,2089365.125,0,1,1,64
Small- and Mid-Sized Office,NORTHWEST,1.0,2,39815,2158188.5,0,1,1,74
Other,NORTHWEST,1.0,4,25557,2280352.5,0,1,0,55
Other,NORTHWEST,1.0,2,26994,3320817.0,0,1,1,67
Warehouse,NORTHWEST,1.0,1,48112,1463960.0,0,1,0,53
Other,NORTHWEST,1.0,1,20909,1296995.0,0,1,1,16
Small- and Mid-Sized Office,NORTHWEST,1.0,2,26275,1871245.75,0,1,0,24
Other,NORTHWEST,1.0,2,45000,6104259.5,0,1,1,18
Retail Store,NORTHWEST,1.0,1,26115,1760626.0,0,1,1,27
Worship Facility,NORTHEAST,1.0,1,26033,1343672.875,0,1,1,76
K-12 School,MAGNOLIA / QUEEN ANNE,1.0,4,48660,2115259.0,0,1,1,18
Senior Care Community,MAGNOLIA / QUEEN ANNE,1.0,2,46539,5589312.5,0,1,1,55
Residence Hall,DOWNTOWN,1.0,4,29796,2309752.75,0,1,1,116
Retail Store,DOWNTOWN,1.0,2,26400,1013921.625,0,1,1,105
Small- and Mid-Sized Office,DOWNTOWN,1.0,3,38148,1262255.75,0,1,0,107
Mixed Use Property,LAKE UNION,1.0,2,28800,521523.1875,0,1,1,97
Worship Facility,MAGNOLIA / QUEEN ANNE,1.0,5,31945,1806468.0,0,1,0,70
Small- and Mid-Sized Office,MAGNOLIA / QUEEN ANNE,1.0,5,52908,4480961.0,0,1,0,40
Retail Store,DOWNTOWN,1.0,4,34680,1259828.25,0,1,1,125
Worship Facility,DOWNTOWN,1.0,3,40548,6207115.5,0,1,1,57
Retail Store,DOWNTOWN,1.0,1,36504,2147472.5,0,1,1,110
Small- and Mid-Sized Office,DOWNTOWN,1.0,6,35200,2998208.25,0,1,0,118
Small- and Mid-Sized Office,DOWNTOWN,1.0,5,35840,1724638.75,0,1,1,118
Other,DOWNTOWN,1.0,2,25920,1356947.75,0,1,0,84
Small- and Mid-Sized Office,DOWNTOWN,1.0,4,30525,2991557.25,1,1,0,97
Other,EAST,1.0,4,49243,8491346.0,0,1,1,61
Other,EAST,1.0,3,20411,2145049.5,0,1,1,113
